"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","tipo_receita","rubrica_receita","VALUE","QT_HABITANTE","ELEMENTLABEL","dh_consulta"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.2.1.8.05.1.0 - Contribuição do Militar Ativo","37753367.74","869265","1.2.1.8.05.1.0 - Contribuição do Militar Ativo","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.2.8.10.9.0 Outras Transferências de Convênio dos Estados","814400","869265","1.7.2.8.10.9.0 Outras Transferências de Convênio dos Estados","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.0.0.00.0.0 - Outras Receitas Correntes","102559549.59","869265","1.9.0.0.00.0.0 - Outras Receitas Correntes","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","1.7.1.8.01.1.0 Cota-Parte do Fundo de Participação dos Estados e do Distrito Federal","679441131.96","869265","1.7.1.8.01.1.0 Cota-Parte do Fundo de Participação dos Estados e do Distrito Federal","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.01.6.0 Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos Industrializados","762104.44","869265","1.7.1.8.01.6.0 Cota-Parte do Imposto Sobre Produtos Industrializados ¿ Estados Exportadores de Produtos Industrializados","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.10.9.0 Outras Transferências de Convênios da União","5768083.67","869265","1.7.1.8.10.9.0 Outras Transferências de Convênios da União","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.1.8.05.1.0 Transferências do Salário-Educação","17348651.2","869265","1.7.1.8.05.1.0 Transferências do Salário-Educação","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.9.0.03.0.0 - Compensações Financeiras entre o Regime Geral e os Regimes Próprios de Previdência dos Servidores","49047609.23","869265","1.9.9.0.03.0.0 - Compensações Financeiras entre o Regime Geral e os Regimes Próprios de Previdência dos Servidores","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.3.3.0.00.0.0 - Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença","344251.72","869265","1.3.3.0.00.0.0 - Delegação de Serviços Públicos Mediante Concessão, Permissão, Autorização ou Licença","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","7.2.1.0.00.0.0 - Contribuições Sociais","202330037.47","869265","7.2.1.0.00.0.0 - Contribuições Sociais","##------ Sun Mar  1 14:14:45 2026 ------##"
